scenario_id,incident_id,root_cause_id,root_cause_type,root_cause_node,root_cause_service
scen_000069,inc_scen_000069_01,rc_inc_scen_000069_01,deployment_bug,consumer_9,kafka_consumer_9
scen_000070,inc_scen_000070_01,rc_inc_scen_000070_01,load_balancer_failure,ecom_aux_3,user_service_3
scen_000071,inc_scen_000071_01,rc_inc_scen_000071_01,database_outage,node_25,mesh_svc_25
scen_000072,inc_scen_000072_01,rc_inc_scen_000072_01,configuration_error,ecom_aux_8,user_service_8
scen_000074,inc_scen_000074_01,rc_inc_scen_000074_01,configuration_error,consumer_17,kafka_consumer_17
scen_000075,inc_scen_000075_01,rc_inc_scen_000075_01,kafka_broker_failure,consumer_8,kafka_consumer_8
scen_000076,inc_scen_000076_01,rc_inc_scen_000076_01,kafka_broker_failure,sub_svc_17,sub_service_17
scen_000077,inc_scen_000077_01,rc_inc_scen_000077_01,storage_failure,gw_01,api_gateway
scen_000078,inc_scen_000078_01,rc_inc_scen_000078_01,packet_loss,search_node_8,search_aux_8
scen_000079,inc_scen_000079_01,rc_inc_scen_000079_01,redis_failure,node_02,mesh_svc_2
scen_000082,inc_scen_000082_01,rc_inc_scen_000082_01,memory_exhaustion,node_17,mesh_svc_17
scen_000082,inc_scen_000082_02,rc_inc_scen_000082_02,network_latency,node_00,mesh_svc_0
scen_000083,inc_scen_000083_01,rc_inc_scen_000083_01,cpu_saturation,consumer_26,kafka_consumer_26
scen_000084,inc_scen_000084_01,rc_inc_scen_000084_01,service_crash,consumer_3,kafka_consumer_3
scen_000085,inc_scen_000085_01,rc_inc_scen_000085_01,container_restart_loop,sub_svc_5,sub_service_5
scen_000086,inc_scen_000086_01,rc_inc_scen_000086_01,authentication_failure,ecom_aux_11,user_service_11
scen_000087,inc_scen_000087_01,rc_inc_scen_000087_01,deadlock,pay_01,payment_service
scen_000089,inc_scen_000089_01,rc_inc_scen_000089_01,database_slow_queries,node_26,mesh_svc_26
scen_000091,inc_scen_000091_01,rc_inc_scen_000091_01,authentication_failure,search_node_40,search_aux_40
scen_000092,inc_scen_000092_01,rc_inc_scen_000092_01,database_connection_exhaustion,ecom_aux_37,user_service_37
scen_000093,inc_scen_000093_01,rc_inc_scen_000093_01,deadlock,consumer_13,kafka_consumer_13
scen_000095,inc_scen_000095_01,rc_inc_scen_000095_01,network_latency,node_22,mesh_svc_22
scen_000095,inc_scen_000095_02,rc_inc_scen_000095_02,authentication_failure,node_34,mesh_svc_34
scen_000096,inc_scen_000096_01,rc_inc_scen_000096_01,message_queue_backlog,consumer_15,kafka_consumer_15
scen_000097,inc_scen_000097_01,rc_inc_scen_000097_01,kubernetes_node_failure,node_19,mesh_svc_19
scen_000097,inc_scen_000097_02,rc_inc_scen_000097_02,memory_leak,node_03,mesh_svc_3
scen_000098,inc_scen_000098_01,rc_inc_scen_000098_01,authentication_failure,sub_svc_16,sub_service_16
scen_000099,inc_scen_000099_01,rc_inc_scen_000099_01,dependency_timeout,sub_svc_8,sub_service_8
