node_id,node_type,service_name,environment,region,zone,host_id,container_id,version,cpu_capacity,memory_capacity,replica_count,criticality,scenario_id,topology_id
node_23,rabbitmq,mesh_svc_23,production,eu-central-1,eu-central-1c,host-862,ct-2446,v2.2.0,4.0,16.0,4,medium,scen_000003,top_0003
node_24,order_service,mesh_svc_24,production,eu-central-1,eu-central-1a,host-859,ct-2775,v2.2.0,8.0,8.0,3,medium,scen_000003,top_0003
node_25,vm_instance,mesh_svc_25,production,eu-central-1,eu-central-1b,host-757,ct-9009,v2.9.0,16.0,4.0,5,critical,scen_000003,top_0003
node_26,recommendation_service,mesh_svc_26,production,eu-central-1,eu-central-1b,host-448,ct-8816,v3.9.0,4.0,32.0,2,low,scen_000003,top_0003
gw_01,api_gateway,api_gateway,production,ap-southeast-1,ap-southeast-1b,host-329,ct-2510,v2.9.0,4.0,4.0,1,critical,scen_000004,top_0004
rec_01,recommendation_service,recommendation_service,production,ap-southeast-1,ap-southeast-1a,host-852,ct-2730,v3.0.0,4.0,4.0,5,high,scen_000004,top_0004
es_01,elasticsearch,elasticsearch,production,ap-southeast-1,ap-southeast-1c,host-138,ct-5655,v2.3.0,16.0,4.0,3,critical,scen_000004,top_0004
redis_01,redis,redis,production,ap-southeast-1,ap-southeast-1c,host-997,ct-9161,v2.1.0,4.0,64.0,2,critical,scen_000004,top_0004
mongo_01,mongodb,mongodb,production,ap-southeast-1,ap-southeast-1b,host-193,ct-9629,v1.7.0,2.0,8.0,1,high,scen_000004,top_0004
search_node_1,user_service,search_aux_1,production,ap-southeast-1,ap-southeast-1a,host-444,ct-8265,v3.7.0,4.0,8.0,1,medium,scen_000004,top_0004
search_node_2,user_service,search_aux_2,production,ap-southeast-1,ap-southeast-1b,host-785,ct-4613,v2.8.0,4.0,16.0,5,medium,scen_000004,top_0004
search_node_3,user_service,search_aux_3,production,ap-southeast-1,ap-southeast-1b,host-396,ct-6198,v1.7.0,4.0,8.0,4,medium,scen_000004,top_0004
search_node_4,user_service,search_aux_4,production,ap-southeast-1,ap-southeast-1b,host-533,ct-8859,v1.2.0,4.0,16.0,4,medium,scen_000004,top_0004
search_node_5,user_service,search_aux_5,production,ap-southeast-1,ap-southeast-1c,host-307,ct-8962,v3.0.0,8.0,32.0,1,medium,scen_000004,top_0004
search_node_6,user_service,search_aux_6,production,ap-southeast-1,ap-southeast-1b,host-404,ct-3963,v3.9.0,4.0,64.0,4,medium,scen_000004,top_0004
search_node_7,user_service,search_aux_7,production,ap-southeast-1,ap-southeast-1c,host-666,ct-2197,v2.3.0,16.0,64.0,2,medium,scen_000004,top_0004
search_node_8,user_service,search_aux_8,production,ap-southeast-1,ap-southeast-1c,host-760,ct-3307,v1.8.0,16.0,8.0,4,medium,scen_000004,top_0004
search_node_9,user_service,search_aux_9,production,ap-southeast-1,ap-southeast-1c,host-559,ct-6589,v3.0.0,8.0,8.0,2,medium,scen_000004,top_0004
search_node_10,user_service,search_aux_10,production,ap-southeast-1,ap-southeast-1a,host-641,ct-1919,v3.5.0,4.0,16.0,3,medium,scen_000004,top_0004
search_node_11,user_service,search_aux_11,production,ap-southeast-1,ap-southeast-1b,host-800,ct-5617,v1.4.0,16.0,16.0,5,medium,scen_000004,top_0004
search_node_12,user_service,search_aux_12,production,ap-southeast-1,ap-southeast-1c,host-927,ct-1149,v3.2.0,8.0,32.0,2,medium,scen_000004,top_0004
search_node_13,user_service,search_aux_13,production,ap-southeast-1,ap-southeast-1c,host-744,ct-8372,v1.0.0,16.0,4.0,1,medium,scen_000004,top_0004
search_node_14,user_service,search_aux_14,production,ap-southeast-1,ap-southeast-1c,host-280,ct-9529,v3.1.0,8.0,16.0,1,medium,scen_000004,top_0004
search_node_15,user_service,search_aux_15,production,ap-southeast-1,ap-southeast-1b,host-729,ct-5903,v1.5.0,2.0,16.0,5,medium,scen_000004,top_0004
search_node_16,user_service,search_aux_16,production,ap-southeast-1,ap-southeast-1a,host-460,ct-4669,v3.5.0,4.0,4.0,3,medium,scen_000004,top_0004
search_node_17,user_service,search_aux_17,production,ap-southeast-1,ap-southeast-1c,host-884,ct-5225,v3.2.0,16.0,4.0,5,medium,scen_000004,top_0004
search_node_18,user_service,search_aux_18,production,ap-southeast-1,ap-southeast-1b,host-910,ct-3351,v1.7.0,16.0,32.0,2,medium,scen_000004,top_0004
search_node_19,user_service,search_aux_19,production,ap-southeast-1,ap-southeast-1a,host-497,ct-4216,v3.0.0,4.0,4.0,2,medium,scen_000004,top_0004
search_node_20,user_service,search_aux_20,production,ap-southeast-1,ap-southeast-1b,host-926,ct-2832,v1.0.0,8.0,8.0,5,medium,scen_000004,top_0004
ingest_01,api_gateway,ingestion_gateway,production,ap-southeast-1,ap-southeast-1a,host-498,ct-7446,v1.6.0,8.0,64.0,5,critical,scen_000014,top_0014
kafka_broker,kafka,kafka,production,ap-southeast-1,ap-southeast-1c,host-698,ct-5824,v3.9.0,8.0,16.0,1,critical,scen_000014,top_0014
notif_01,notification_service,notification_service,production,ap-southeast-1,ap-southeast-1c,host-169,ct-7249,v1.7.0,16.0,32.0,5,high,scen_000014,top_0014
user_01,user_service,user_service,production,ap-southeast-1,ap-southeast-1b,host-850,ct-5549,v3.2.0,4.0,32.0,5,medium,scen_000014,top_0014
db_event,mysql,mysql,production,ap-southeast-1,ap-southeast-1b,host-134,ct-2916,v3.3.0,8.0,4.0,1,high,scen_000014,top_0014
consumer_1,web_service,kafka_consumer_1,production,ap-southeast-1,ap-southeast-1a,host-367,ct-8656,v3.6.0,4.0,64.0,1,low,scen_000014,top_0014
consumer_2,web_service,kafka_consumer_2,production,ap-southeast-1,ap-southeast-1a,host-560,ct-3797,v1.5.0,8.0,4.0,4,low,scen_000014,top_0014
consumer_3,web_service,kafka_consumer_3,production,ap-southeast-1,ap-southeast-1c,host-817,ct-5021,v1.8.0,8.0,4.0,4,low,scen_000014,top_0014
consumer_4,web_service,kafka_consumer_4,production,ap-southeast-1,ap-southeast-1b,host-102,ct-1106,v2.2.0,16.0,32.0,2,low,scen_000014,top_0014
consumer_5,web_service,kafka_consumer_5,production,ap-southeast-1,ap-southeast-1b,host-201,ct-1346,v1.9.0,8.0,32.0,4,low,scen_000014,top_0014
consumer_6,web_service,kafka_consumer_6,production,ap-southeast-1,ap-southeast-1a,host-657,ct-8507,v3.6.0,4.0,16.0,2,low,scen_000014,top_0014
consumer_7,web_service,kafka_consumer_7,production,ap-southeast-1,ap-southeast-1a,host-718,ct-1488,v3.1.0,8.0,64.0,3,low,scen_000014,top_0014
consumer_8,web_service,kafka_consumer_8,production,ap-southeast-1,ap-southeast-1b,host-434,ct-4621,v2.4.0,4.0,4.0,4,low,scen_000014,top_0014
consumer_9,web_service,kafka_consumer_9,production,ap-southeast-1,ap-southeast-1c,host-627,ct-5389,v3.8.0,2.0,16.0,1,low,scen_000014,top_0014
consumer_10,web_service,kafka_consumer_10,production,ap-southeast-1,ap-southeast-1b,host-633,ct-1281,v1.0.0,4.0,8.0,3,low,scen_000014,top_0014
consumer_11,web_service,kafka_consumer_11,production,ap-southeast-1,ap-southeast-1a,host-649,ct-2373,v1.7.0,16.0,16.0,2,low,scen_000014,top_0014
consumer_12,web_service,kafka_consumer_12,production,ap-southeast-1,ap-southeast-1c,host-774,ct-7145,v1.5.0,8.0,16.0,1,low,scen_000014,top_0014
consumer_13,web_service,kafka_consumer_13,production,ap-southeast-1,ap-southeast-1c,host-178,ct-4626,v3.0.0,16.0,16.0,4,low,scen_000014,top_0014
consumer_14,web_service,kafka_consumer_14,production,ap-southeast-1,ap-southeast-1a,host-954,ct-1272,v2.4.0,4.0,4.0,3,low,scen_000014,top_0014
consumer_15,web_service,kafka_consumer_15,production,ap-southeast-1,ap-southeast-1c,host-879,ct-2564,v2.4.0,4.0,16.0,5,low,scen_000014,top_0014
consumer_16,web_service,kafka_consumer_16,production,ap-southeast-1,ap-southeast-1b,host-379,ct-3498,v3.1.0,2.0,8.0,3,low,scen_000014,top_0014
consumer_17,web_service,kafka_consumer_17,production,ap-southeast-1,ap-southeast-1a,host-469,ct-8571,v1.8.0,16.0,8.0,2,low,scen_000014,top_0014
consumer_18,web_service,kafka_consumer_18,production,ap-southeast-1,ap-southeast-1a,host-222,ct-5085,v1.8.0,4.0,16.0,3,low,scen_000014,top_0014
consumer_19,web_service,kafka_consumer_19,production,ap-southeast-1,ap-southeast-1c,host-300,ct-6542,v2.1.0,8.0,64.0,2,low,scen_000014,top_0014
gw_01,api_gateway,api_gateway,production,us-west-2,us-west-2b,host-654,ct-3878,v2.7.0,8.0,32.0,5,critical,scen_000015,top_0015
lb_01,load_balancer,load_balancer,production,us-west-2,us-west-2c,host-432,ct-7378,v2.5.0,16.0,4.0,3,critical,scen_000015,top_0015
auth_01,auth_service,auth_service,production,us-west-2,us-west-2b,host-237,ct-9366,v2.0.0,4.0,8.0,5,high,scen_000015,top_0015
web_01,web_service,web_service,production,us-west-2,us-west-2c,host-546,ct-1110,v1.0.0,2.0,32.0,3,high,scen_000015,top_0015
db_01,postgresql,postgresql,production,us-west-2,us-west-2c,host-762,ct-8152,v3.2.0,16.0,64.0,2,critical,scen_000015,top_0015
sub_svc_2,web_service,sub_service_2,production,us-west-2,us-west-2a,host-884,ct-3598,v2.6.0,4.0,4.0,4,low,scen_000015,top_0015
sub_svc_3,web_service,sub_service_3,production,us-west-2,us-west-2b,host-652,ct-8804,v2.4.0,16.0,16.0,1,low,scen_000015,top_0015
sub_svc_4,web_service,sub_service_4,production,us-west-2,us-west-2a,host-235,ct-9804,v2.5.0,4.0,16.0,2,low,scen_000015,top_0015
sub_svc_5,web_service,sub_service_5,production,us-west-2,us-west-2a,host-328,ct-1905,v2.6.0,16.0,4.0,2,low,scen_000015,top_0015
sub_svc_6,web_service,sub_service_6,production,us-west-2,us-west-2b,host-933,ct-9318,v1.4.0,2.0,16.0,1,low,scen_000015,top_0015
sub_svc_7,web_service,sub_service_7,production,us-west-2,us-west-2c,host-431,ct-1256,v1.7.0,16.0,32.0,4,low,scen_000015,top_0015
sub_svc_8,web_service,sub_service_8,production,us-west-2,us-west-2c,host-631,ct-1367,v2.5.0,2.0,4.0,2,low,scen_000015,top_0015
sub_svc_9,web_service,sub_service_9,production,us-west-2,us-west-2c,host-251,ct-5066,v3.9.0,8.0,8.0,5,low,scen_000015,top_0015
sub_svc_10,web_service,sub_service_10,production,us-west-2,us-west-2c,host-210,ct-1398,v3.9.0,2.0,64.0,3,low,scen_000015,top_0015
sub_svc_11,web_service,sub_service_11,production,us-west-2,us-west-2b,host-918,ct-7788,v3.6.0,16.0,16.0,1,low,scen_000015,top_0015
sub_svc_12,web_service,sub_service_12,production,us-west-2,us-west-2b,host-555,ct-5371,v2.8.0,2.0,32.0,3,low,scen_000015,top_0015
sub_svc_13,web_service,sub_service_13,production,us-west-2,us-west-2b,host-540,ct-3349,v1.1.0,8.0,8.0,3,low,scen_000015,top_0015
sub_svc_14,web_service,sub_service_14,production,us-west-2,us-west-2c,host-109,ct-4125,v2.7.0,16.0,8.0,1,low,scen_000015,top_0015
sub_svc_15,web_service,sub_service_15,production,us-west-2,us-west-2b,host-666,ct-8296,v3.5.0,2.0,4.0,3,low,scen_000015,top_0015
sub_svc_16,web_service,sub_service_16,production,us-west-2,us-west-2b,host-951,ct-1264,v3.1.0,16.0,16.0,1,low,scen_000015,top_0015
sub_svc_17,web_service,sub_service_17,production,us-west-2,us-west-2a,host-330,ct-6840,v1.3.0,8.0,8.0,2,low,scen_000015,top_0015
sub_svc_18,web_service,sub_service_18,production,us-west-2,us-west-2c,host-901,ct-5654,v3.6.0,16.0,8.0,4,low,scen_000015,top_0015
sub_svc_19,web_service,sub_service_19,production,us-west-2,us-west-2c,host-336,ct-3432,v2.8.0,16.0,64.0,4,low,scen_000015,top_0015
sub_svc_20,web_service,sub_service_20,production,us-west-2,us-west-2a,host-405,ct-6399,v1.6.0,16.0,4.0,2,low,scen_000015,top_0015
sub_svc_21,web_service,sub_service_21,production,us-west-2,us-west-2b,host-544,ct-9194,v3.1.0,4.0,64.0,1,low,scen_000015,top_0015
sub_svc_22,web_service,sub_service_22,production,us-west-2,us-west-2a,host-848,ct-3505,v2.0.0,4.0,8.0,4,low,scen_000015,top_0015
sub_svc_23,web_service,sub_service_23,production,us-west-2,us-west-2a,host-788,ct-5952,v3.6.0,8.0,64.0,4,low,scen_000015,top_0015
gw_01,api_gateway,api_gateway,production,ap-southeast-1,ap-southeast-1a,host-191,ct-4165,v3.5.0,8.0,64.0,3,critical,scen_000017,top_0017
auth_01,auth_service,auth_service,production,ap-southeast-1,ap-southeast-1a,host-702,ct-3714,v1.6.0,2.0,4.0,4,high,scen_000017,top_0017
order_01,order_service,order_service,production,ap-southeast-1,ap-southeast-1a,host-705,ct-9685,v2.4.0,4.0,8.0,3,critical,scen_000017,top_0017
pay_01,payment_service,payment_service,production,ap-southeast-1,ap-southeast-1a,host-152,ct-2176,v3.5.0,2.0,32.0,2,critical,scen_000017,top_0017
inv_01,inventory_service,inventory_service,production,ap-southeast-1,ap-southeast-1c,host-678,ct-1311,v1.8.0,16.0,4.0,5,high,scen_000017,top_0017
db_master,postgresql,postgresql,production,ap-southeast-1,ap-southeast-1a,host-661,ct-6056,v2.3.0,16.0,16.0,2,critical,scen_000017,top_0017
cache_01,redis,redis,production,ap-southeast-1,ap-southeast-1c,host-950,ct-3165,v3.6.0,4.0,64.0,3,high,scen_000017,top_0017
mq_01,kafka,kafka,production,ap-southeast-1,ap-southeast-1a,host-406,ct-8569,v3.8.0,4.0,16.0,3,high,scen_000017,top_0017
ecom_aux_1,user_service,user_service_1,production,ap-southeast-1,ap-southeast-1b,host-559,ct-8214,v1.3.0,8.0,64.0,3,low,scen_000017,top_0017
node_00,kafka,mesh_svc_0,production,ap-southeast-1,ap-southeast-1a,host-218,ct-9840,v2.8.0,4.0,4.0,2,critical,scen_000019,top_0019
node_01,load_balancer,mesh_svc_1,production,ap-southeast-1,ap-southeast-1c,host-892,ct-9540,v1.3.0,8.0,4.0,5,critical,scen_000019,top_0019
node_02,web_service,mesh_svc_2,production,ap-southeast-1,ap-southeast-1a,host-489,ct-5672,v2.5.0,4.0,4.0,1,high,scen_000019,top_0019
node_03,elasticsearch,mesh_svc_3,production,ap-southeast-1,ap-southeast-1b,host-824,ct-5634,v3.4.0,8.0,64.0,3,low,scen_000019,top_0019
node_04,inventory_service,mesh_svc_4,production,ap-southeast-1,ap-southeast-1c,host-650,ct-5530,v2.1.0,4.0,4.0,4,medium,scen_000019,top_0019
node_05,container,mesh_svc_5,production,ap-southeast-1,ap-southeast-1c,host-944,ct-9508,v2.7.0,4.0,8.0,3,medium,scen_000019,top_0019
node_06,vm_instance,mesh_svc_6,production,ap-southeast-1,ap-southeast-1a,host-287,ct-5149,v2.1.0,8.0,4.0,2,medium,scen_000019,top_0019
node_07,load_balancer,mesh_svc_7,production,ap-southeast-1,ap-southeast-1a,host-615,ct-6277,v3.6.0,16.0,16.0,2,high,scen_000019,top_0019
node_08,elasticsearch,mesh_svc_8,production,ap-southeast-1,ap-southeast-1c,host-548,ct-5572,v1.8.0,8.0,16.0,4,low,scen_000019,top_0019
node_09,object_storage,mesh_svc_9,production,ap-southeast-1,ap-southeast-1c,host-164,ct-9390,v2.3.0,2.0,64.0,4,low,scen_000019,top_0019
node_10,web_service,mesh_svc_10,production,ap-southeast-1,ap-southeast-1a,host-647,ct-3072,v2.8.0,16.0,4.0,2,low,scen_000019,top_0019
node_11,auth_service,mesh_svc_11,production,ap-southeast-1,ap-southeast-1c,host-573,ct-6212,v2.5.0,4.0,4.0,2,high,scen_000019,top_0019
node_12,inventory_service,mesh_svc_12,production,ap-southeast-1,ap-southeast-1a,host-905,ct-1321,v1.0.0,2.0,4.0,2,high,scen_000019,top_0019
node_13,redis,mesh_svc_13,production,ap-southeast-1,ap-southeast-1c,host-669,ct-1835,v1.0.0,4.0,16.0,5,low,scen_000019,top_0019
node_14,elasticsearch,mesh_svc_14,production,ap-southeast-1,ap-southeast-1b,host-680,ct-7966,v1.7.0,8.0,4.0,4,high,scen_000019,top_0019
node_15,web_service,mesh_svc_15,production,ap-southeast-1,ap-southeast-1a,host-676,ct-4527,v2.7.0,16.0,64.0,1,high,scen_000019,top_0019
node_16,container,mesh_svc_16,production,ap-southeast-1,ap-southeast-1b,host-243,ct-6218,v3.7.0,16.0,32.0,5,high,scen_000019,top_0019
node_17,web_service,mesh_svc_17,production,ap-southeast-1,ap-southeast-1a,host-200,ct-3197,v3.0.0,16.0,4.0,1,high,scen_000019,top_0019
node_18,user_service,mesh_svc_18,production,ap-southeast-1,ap-southeast-1b,host-115,ct-5274,v1.2.0,2.0,4.0,5,high,scen_000019,top_0019
node_19,vm_instance,mesh_svc_19,production,ap-southeast-1,ap-southeast-1a,host-356,ct-6191,v3.5.0,8.0,8.0,1,low,scen_000019,top_0019
node_20,elasticsearch,mesh_svc_20,production,ap-southeast-1,ap-southeast-1c,host-250,ct-7974,v3.0.0,16.0,64.0,4,low,scen_000019,top_0019
node_21,elasticsearch,mesh_svc_21,production,ap-southeast-1,ap-southeast-1a,host-923,ct-6168,v3.6.0,16.0,64.0,4,high,scen_000019,top_0019
node_22,auth_service,mesh_svc_22,production,ap-southeast-1,ap-southeast-1a,host-335,ct-9537,v2.6.0,16.0,8.0,3,critical,scen_000019,top_0019
node_23,inventory_service,mesh_svc_23,production,ap-southeast-1,ap-southeast-1c,host-365,ct-7298,v3.8.0,8.0,64.0,5,low,scen_000019,top_0019
node_24,order_service,mesh_svc_24,production,ap-southeast-1,ap-southeast-1b,host-861,ct-8145,v3.9.0,8.0,8.0,4,high,scen_000019,top_0019
gw_01,api_gateway,api_gateway,production,us-east-1,us-east-1b,host-851,ct-8437,v3.8.0,16.0,16.0,2,critical,scen_000023,top_0023
lb_01,load_balancer,load_balancer,production,us-east-1,us-east-1c,host-127,ct-4922,v3.8.0,16.0,32.0,4,critical,scen_000023,top_0023
auth_01,auth_service,auth_service,production,us-east-1,us-east-1c,host-927,ct-2222,v3.1.0,2.0,16.0,5,high,scen_000023,top_0023
web_01,web_service,web_service,production,us-east-1,us-east-1b,host-151,ct-5757,v3.3.0,2.0,4.0,5,high,scen_000023,top_0023
db_01,postgresql,postgresql,production,us-east-1,us-east-1b,host-233,ct-6862,v2.4.0,16.0,8.0,5,critical,scen_000023,top_0023
sub_svc_2,web_service,sub_service_2,production,us-east-1,us-east-1a,host-251,ct-2259,v3.8.0,16.0,32.0,2,low,scen_000023,top_0023
sub_svc_3,web_service,sub_service_3,production,us-east-1,us-east-1c,host-932,ct-7673,v3.0.0,4.0,32.0,1,low,scen_000023,top_0023
sub_svc_4,web_service,sub_service_4,production,us-east-1,us-east-1c,host-773,ct-8806,v2.8.0,8.0,16.0,2,low,scen_000023,top_0023
sub_svc_5,web_service,sub_service_5,production,us-east-1,us-east-1a,host-576,ct-1722,v2.3.0,16.0,4.0,4,low,scen_000023,top_0023
sub_svc_6,web_service,sub_service_6,production,us-east-1,us-east-1a,host-510,ct-4781,v2.0.0,16.0,8.0,1,low,scen_000023,top_0023
sub_svc_7,web_service,sub_service_7,production,us-east-1,us-east-1c,host-278,ct-3874,v3.6.0,16.0,32.0,5,low,scen_000023,top_0023
sub_svc_8,web_service,sub_service_8,production,us-east-1,us-east-1b,host-915,ct-4026,v2.4.0,8.0,32.0,5,low,scen_000023,top_0023
sub_svc_9,web_service,sub_service_9,production,us-east-1,us-east-1b,host-230,ct-1035,v2.3.0,16.0,4.0,5,low,scen_000023,top_0023
sub_svc_10,web_service,sub_service_10,production,us-east-1,us-east-1a,host-874,ct-6344,v2.7.0,16.0,64.0,4,low,scen_000023,top_0023
sub_svc_11,web_service,sub_service_11,production,us-east-1,us-east-1c,host-580,ct-7817,v2.1.0,4.0,4.0,2,low,scen_000023,top_0023
sub_svc_12,web_service,sub_service_12,production,us-east-1,us-east-1b,host-924,ct-1060,v1.0.0,8.0,16.0,3,low,scen_000023,top_0023
sub_svc_13,web_service,sub_service_13,production,us-east-1,us-east-1c,host-858,ct-4441,v2.6.0,4.0,4.0,1,low,scen_000023,top_0023
sub_svc_14,web_service,sub_service_14,production,us-east-1,us-east-1b,host-542,ct-7834,v2.5.0,4.0,8.0,4,low,scen_000023,top_0023
sub_svc_15,web_service,sub_service_15,production,us-east-1,us-east-1a,host-190,ct-3790,v1.1.0,4.0,4.0,2,low,scen_000023,top_0023
sub_svc_16,web_service,sub_service_16,production,us-east-1,us-east-1b,host-274,ct-6681,v2.4.0,2.0,64.0,1,low,scen_000023,top_0023
gw_01,api_gateway,api_gateway,production,us-east-1,us-east-1b,host-141,ct-4120,v2.7.0,16.0,8.0,5,critical,scen_000027,top_0027
rec_01,recommendation_service,recommendation_service,production,us-east-1,us-east-1b,host-697,ct-3342,v1.3.0,2.0,8.0,4,high,scen_000027,top_0027
es_01,elasticsearch,elasticsearch,production,us-east-1,us-east-1a,host-873,ct-4206,v2.4.0,16.0,4.0,2,critical,scen_000027,top_0027
redis_01,redis,redis,production,us-east-1,us-east-1a,host-893,ct-3196,v3.8.0,2.0,32.0,1,critical,scen_000027,top_0027
mongo_01,mongodb,mongodb,production,us-east-1,us-east-1a,host-182,ct-8598,v3.8.0,8.0,8.0,3,high,scen_000027,top_0027
search_node_1,user_service,search_aux_1,production,us-east-1,us-east-1b,host-978,ct-5863,v2.8.0,8.0,8.0,1,medium,scen_000027,top_0027
search_node_2,user_service,search_aux_2,production,us-east-1,us-east-1b,host-243,ct-2190,v1.9.0,2.0,32.0,2,medium,scen_000027,top_0027
search_node_3,user_service,search_aux_3,production,us-east-1,us-east-1c,host-482,ct-5692,v2.0.0,4.0,64.0,3,medium,scen_000027,top_0027
search_node_4,user_service,search_aux_4,production,us-east-1,us-east-1c,host-760,ct-1293,v1.4.0,4.0,16.0,4,medium,scen_000027,top_0027
search_node_5,user_service,search_aux_5,production,us-east-1,us-east-1a,host-909,ct-5788,v2.1.0,16.0,64.0,2,medium,scen_000027,top_0027
search_node_6,user_service,search_aux_6,production,us-east-1,us-east-1a,host-661,ct-2976,v3.2.0,16.0,16.0,4,medium,scen_000027,top_0027
search_node_7,user_service,search_aux_7,production,us-east-1,us-east-1c,host-537,ct-8804,v1.1.0,4.0,16.0,4,medium,scen_000027,top_0027
search_node_8,user_service,search_aux_8,production,us-east-1,us-east-1c,host-884,ct-2038,v3.1.0,4.0,4.0,4,medium,scen_000027,top_0027
search_node_9,user_service,search_aux_9,production,us-east-1,us-east-1c,host-960,ct-3309,v1.1.0,8.0,8.0,4,medium,scen_000027,top_0027
search_node_10,user_service,search_aux_10,production,us-east-1,us-east-1b,host-372,ct-9817,v1.2.0,2.0,8.0,5,medium,scen_000027,top_0027
search_node_11,user_service,search_aux_11,production,us-east-1,us-east-1b,host-201,ct-4063,v1.0.0,2.0,16.0,2,medium,scen_000027,top_0027
