scenario_id,incident_id,root_cause_type,target_node,recommended_action,alternative_actions,action_success_probability,estimated_recovery_time,risk_level,requires_human_approval,is_allowlisted,rollback_available
scen_000050,inc_scen_000050_01,database_connection_exhaustion,kafka_broker,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000051,inc_scen_000051_01,disk_exhaustion,node_22,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000052,inc_scen_000052_01,kafka_broker_failure,ingest_01,scale_brokers,increase_consumers|restart_consumer,0.9,400,high,True,True,True
scen_000053,inc_scen_000053_01,network_latency,sub_svc_3,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000054,inc_scen_000054_01,dns_failure,consumer_31,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000057,inc_scen_000057_01,database_connection_exhaustion,ecom_aux_11,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000058,inc_scen_000058_01,memory_exhaustion,sub_svc_28,restart_service,increase_memory|rollback_deployment,0.95,90,low,False,True,False
scen_000060,inc_scen_000060_01,cpu_saturation,search_node_28,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000060,inc_scen_000060_02,database_connection_exhaustion,search_node_27,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000061,inc_scen_000061_01,cpu_saturation,ecom_aux_4,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000062,inc_scen_000062_01,kafka_broker_failure,node_08,scale_brokers,increase_consumers|restart_consumer,0.9,400,high,True,True,True
scen_000065,inc_scen_000065_01,dependency_timeout,consumer_14,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000066,inc_scen_000066_01,certificate_expiration,node_08,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000067,inc_scen_000067_01,database_connection_exhaustion,db_event,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000068,inc_scen_000068_01,dns_failure,ecom_aux_21,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000069,inc_scen_000069_01,deployment_bug,consumer_9,rollback_deployment,restart_service|scale_out_service,0.99,180,high,True,True,True
scen_000070,inc_scen_000070_01,load_balancer_failure,ecom_aux_3,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000071,inc_scen_000071_01,database_outage,node_25,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000072,inc_scen_000072_01,configuration_error,ecom_aux_8,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000074,inc_scen_000074_01,configuration_error,consumer_17,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000075,inc_scen_000075_01,kafka_broker_failure,consumer_8,scale_brokers,increase_consumers|restart_consumer,0.9,400,high,True,True,True
scen_000076,inc_scen_000076_01,kafka_broker_failure,sub_svc_17,scale_brokers,increase_consumers|restart_consumer,0.9,400,high,True,True,True
scen_000077,inc_scen_000077_01,storage_failure,gw_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000078,inc_scen_000078_01,packet_loss,search_node_8,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000079,inc_scen_000079_01,redis_failure,node_02,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000082,inc_scen_000082_01,memory_exhaustion,node_17,restart_service,increase_memory|rollback_deployment,0.95,90,low,False,True,False
scen_000082,inc_scen_000082_02,network_latency,node_00,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000083,inc_scen_000083_01,cpu_saturation,consumer_26,scale_out_service,restart_container|increase_cpu_limit,0.92,180,low,False,True,True
scen_000084,inc_scen_000084_01,service_crash,consumer_3,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000085,inc_scen_000085_01,container_restart_loop,sub_svc_5,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000086,inc_scen_000086_01,authentication_failure,ecom_aux_11,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000087,inc_scen_000087_01,deadlock,pay_01,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000089,inc_scen_000089_01,database_slow_queries,node_26,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000091,inc_scen_000091_01,authentication_failure,search_node_40,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000092,inc_scen_000092_01,database_connection_exhaustion,ecom_aux_37,increase_connection_pool,restart_application|scale_database,0.94,120,medium,True,True,True
scen_000093,inc_scen_000093_01,deadlock,consumer_13,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000095,inc_scen_000095_01,network_latency,node_22,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000095,inc_scen_000095_02,authentication_failure,node_34,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000096,inc_scen_000096_01,message_queue_backlog,consumer_15,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000097,inc_scen_000097_01,kubernetes_node_failure,node_19,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000097,inc_scen_000097_02,memory_leak,node_03,restart_service,rollback_deployment|increase_memory,0.98,90,low,False,True,False
scen_000098,inc_scen_000098_01,authentication_failure,sub_svc_16,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
scen_000099,inc_scen_000099_01,dependency_timeout,sub_svc_8,restart_container,scale_out_service|rollback_deployment,0.85,90,low,False,True,False
